event_match_index,event_origin_col_index,shot_context,event_angle,event_end_x,receiver_name,assisted_shot,event_x,possession_loss,account_id,qualifier_pass_height,shot_outcome,qualifier_cross,opponent_team_name,shot_angle,shot_distance,season_id,key_pass_type,opponent_team_id,event_end_cell_number,event_id,event_end_y,event_y,home_team_name,match_date,competition_name,event_end_col_index,passer_id,team_score,home_game,passer_name,event_origin_cell_number,event_minute,receiver_id,opposition_score,possession_xg_total,qualifier_own_goal,competition_id,match_id,body_part,play_type,possession_index,period_id,event_origin_row_index,under_pressure,team_id,event_length,away_team_name,event_type,off_camera,team_name,season_name,event_outcome,event_end_row_index,shot_xg
1418,1,Open Play,0.39925712,80.682144,Elli Esteri Seiro,FALSE,52.00357,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Assist,942463,7,1849858480,40.826,61.154,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,2,14176191,0,FALSE,Eevi Sutela,11,30,14176199,1,0.2202689,FALSE,2460,9790467,Right Foot,Open Play,64,1,2,FALSE,812581,39.61578,Honka W,pass,FALSE,Honka W,2023,TRUE,1,0
1773,1,Open Play,6.200044,75.26071,Elli Esteri Seiro,FALSE,52.63214,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Key Pass,942463,5,1849858835,81.18584,78.31125,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,0,14176187,1,FALSE,Matilda Kuusniemi-Fishwick,11,40,14176199,1,0.080971174,FALSE,2460,9790467,Left Foot,Open Play,88,1,2,FALSE,812581,28.899826,Honka W,pass,FALSE,Honka W,2023,TRUE,1,0
2393,3,Open Play,6.186056,89.3075,Elli Esteri Seiro,FALSE,57.739285,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Key Pass,942463,3,1849859455,33.07125,28.099583,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14176189,1,FALSE,Jacqueline Altschuld,13,54,14176199,1,0.04204707,FALSE,2460,9790467,Right Foot,Open Play,119,2,2,FALSE,812581,39.184692,Honka W,pass,FALSE,Honka W,2023,TRUE,0,0
2500,1,Open Play,0.6707203,82.175,Milla Punsar,FALSE,65.439285,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Key Pass,942463,8,1849859562,38.45,60.758,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14176192,1,FALSE,Noora Juusela,11,58,14165188,1,0.31536698,FALSE,2460,9790467,Right Foot,Open Play,125,2,2,FALSE,812581,27.190071,Honka W,pass,FALSE,Honka W,2023,TRUE,1,0
3577,2,Open Play,0.61700803,71.64643,Ada Eronen,FALSE,53.260715,none,18028,Ground Pass,None,FALSE,HPS,null,null,1107,Key Pass,942463,8,1849860639,29.800417,51.65,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14176191,2,FALSE,Eevi Sutela,12,94,14176196,1,0.0935823,FALSE,2460,9790467,Left Foot,Open Play,201,2,2,FALSE,812581,28.690067,Honka W,pass,FALSE,Honka W,2023,TRUE,1,0
3702,3,Open Play,null,null,null,FALSE,62.060715,in-play,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860764,null,38.978,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14165188,2,FALSE,Milla Punsar,13,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,2,FALSE,812581,null,Honka W,foul,FALSE,Honka W,2023,FALSE,null,0
3700,3,Open Play,null,62.060715,null,FALSE,40.45357,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,13,1849860762,38.978,38.318,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,3,14165188,2,FALSE,Milla Punsar,18,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,3,TRUE,812581,null,Honka W,carry,FALSE,Honka W,2023,FALSE,2,0
3699,3,Open Play,null,null,null,FALSE,40.45357,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860761,null,38.318,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14165188,2,FALSE,Milla Punsar,18,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,3,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3676,1,Open Play,null,null,null,FALSE,47.760715,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860738,null,61.682,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14176196,2,FALSE,Ada Eronen,16,97,null,1,0,FALSE,2460,9790467,Other,Open Play,208,2,3,FALSE,812581,null,Honka W,challenge,FALSE,Honka W,2023,FALSE,null,0
3644,4,Open Play,null,83.32083,null,FALSE,36.289288,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,9,1849860706,7.9125,15.766389,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,4,14183719,2,FALSE,Iida Kainulainen,19,96,null,1,0,FALSE,2460,9790467,Other,Open Play,206,2,3,TRUE,812581,null,Honka W,carry,FALSE,Honka W,2023,FALSE,1,0
3629,1,Open Play,null,null,null,FALSE,40.767857,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860691,null,73.339584,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14192797,2,FALSE,Aino Nurmi,16,95,null,1,0,FALSE,2460,9790467,Other,Open Play,204,2,3,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3626,1,Open Play,null,null,null,FALSE,37.625,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860688,null,67.71375,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14176186,2,FALSE,Noora Hämäläinen,16,95,null,1,0,FALSE,2460,9790467,Other,Open Play,204,2,3,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3622,2,Open Play,5.8862114,73.060715,Noora Juusela,FALSE,52.63214,in-play,18028,High Pass,None,FALSE,HPS,null,null,1107,Other,942463,6,1849860684,66.01292,51.65,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,1,14165188,2,FALSE,Milla Punsar,12,95,14176192,1,0,FALSE,2460,9790467,Head,Open Play,204,2,2,FALSE,812581,28.192375,Honka W,pass,FALSE,Honka W,2023,FALSE,1,0
3621,2,Open Play,null,null,null,FALSE,52.63214,none,18028,null,None,FALSE,HPS,null,null,1107,Other,942463,null,1849860683,null,51.65,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,null,14165188,2,FALSE,Milla Punsar,12,95,null,1,0,FALSE,2460,9790467,Other,Open Play,204,2,2,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3594,2,Open Play,1.0194745,60.88214,Iida Kainulainen,FALSE,44.69643,none,18028,Low Pass,None,FALSE,HPS,null,null,1107,Other,942463,14,1849860656,5.685278,47.822,HPS,2023-08-19T17:00:00.000Z,Kansallinen Liiga,4,14165188,2,FALSE,Milla Punsar,17,94,14183719,1,0,FALSE,2460,9790467,Left Foot,Open Play,203,2,3,TRUE,812581,39.32696,Honka W,pass,FALSE,Honka W,2023,TRUE,2,0
