event_match_index,event_origin_col_index,shot_context,event_angle,event_end_x,receiver_name,assisted_shot,event_x,possession_loss,account_id,qualifier_pass_height,shot_outcome,qualifier_cross,opponent_team_name,shot_angle,shot_distance,season_id,key_pass_type,opponent_team_id,event_end_cell_number,event_id,event_end_y,event_y,home_team_name,match_date,competition_name,event_end_col_index,passer_id,team_score,home_game,passer_name,event_origin_cell_number,event_minute,receiver_id,opposition_score,possession_xg_total,qualifier_own_goal,competition_id,match_id,body_part,play_type,possession_index,period_id,event_origin_row_index,under_pressure,team_id,event_length,away_team_name,event_type,off_camera,team_name,season_name,event_outcome,event_end_row_index,shot_xg
2849,3,Open Play,2.1617143,0.048333332,null,FALSE,5.1716666,out,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,29,1631866466,11.429167,20.689722,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176185,2,FALSE,Inka Kaivola,28,73,null,0,0,FALSE,2460,9790523,Left Foot,Open Play,160,2,5,TRUE,812581,9.513149,Honka W,pass,FALSE,Honka W,2023,FALSE,5,0
2913,3,Open Play,5.9133496,72.11786,Noora Juusela,FALSE,32.596428,in-play,18028,High Pass,None,FALSE,ONS,null,null,1107,Other,942464,7,1631866530,54.158,28.492083,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176195,2,FALSE,Daniela Sandås,23,76,14176192,0,0,FALSE,2460,9790523,Right Foot,Open Play,164,2,4,FALSE,812581,53.947567,Honka W,pass,FALSE,Honka W,2023,FALSE,1,0
2974,4,Open Play,null,null,null,FALSE,10.6925,out,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866591,null,9.905278,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,29,77,null,0,0,FALSE,2460,9790523,Other,Open Play,166,2,5,TRUE,812581,null,Honka W,tackle,FALSE,Honka W,2023,TRUE,null,0
2975,2,Open Play,0.43562526,46.189285,null,FALSE,5.7516665,in-play,18028,High Pass,None,FALSE,ONS,null,null,1107,Other,942464,19,1631866592,15.414722,44.786,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176190,2,FALSE,Sofia Manner,27,77,null,0,0,FALSE,2460,9790523,Right Foot,Goal Kick,167,2,5,FALSE,812581,54.268314,Honka W,pass,FALSE,Honka W,2023,FALSE,3,0
2073,2,Open Play,null,null,null,FALSE,19.082144,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631865690,null,46.634,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176194,1,FALSE,Venla Lamberg,22,49,null,0,0,FALSE,2460,9790523,Other,Open Play,103,2,4,FALSE,812581,null,Honka W,blocked_shot,FALSE,Honka W,2023,TRUE,null,0
2076,2,Open Play,null,24.032143,null,FALSE,22.539286,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,22,1631865693,45.974,47.294,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176187,1,FALSE,Matilda Kuusniemi-Fishwick,22,49,null,0,0,FALSE,2460,9790523,Other,Open Play,104,2,4,TRUE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
2080,2,Open Play,5.7332077,66.69643,Wilma Sjöholm,FALSE,22.225,in-play,18028,High Pass,None,FALSE,ONS,null,null,1107,Other,942464,5,1631865697,92.90806,49.01,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,0,14176190,1,FALSE,Sofia Manner,22,49,14176201,0,0,FALSE,2460,9790523,Right Foot,Indirect Free Kick,105,2,4,FALSE,812581,66.39014,Honka W,pass,FALSE,Honka W,2023,FALSE,1,0
2129,0,Open Play,0.40904605,45.403572,Noora Juusela,FALSE,29.453571,none,18028,Low Pass,None,FALSE,ONS,null,null,1107,Other,942464,15,1631865746,89.62583,100,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,0,14176185,1,FALSE,Inka Kaivola,20,51,14176192,0,0,FALSE,2460,9790523,Other,Throw-in,108,2,4,FALSE,812581,22.125324,Honka W,pass,FALSE,Honka W,2023,TRUE,3,0
2146,2,Open Play,null,12.829166,null,FALSE,5.1716666,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,27,1631865763,45.314,50.99,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176190,1,FALSE,Sofia Manner,27,52,null,0,0.02373663,FALSE,2460,9790523,Other,Open Play,110,2,5,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,5,0
2147,2,Open Play,6.1080437,51.610714,Wilma Sjöholm,FALSE,12.829166,in-play,18028,High Pass,None,FALSE,ONS,null,null,1107,Other,942464,12,1631865764,56.666,45.314,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176190,1,FALSE,Sofia Manner,27,52,14176201,0,0.02373663,FALSE,2460,9790523,Other,Open Play,110,2,5,FALSE,812581,49.35504,Honka W,pass,FALSE,Honka W,2023,FALSE,2,0
